# ---- 学习协议参数（M6-B1c 追加；习惯化 P3 + 联想学习 P4；唯一定稿源）----
# 行语义同 mod 行（value 在 fields[9]，位置解析；role=habituation|associative）
# 预注册（清单 §0）：#3 τ_hab∈[3,15] 次/R²≥0.5；#4 恢复用相对判据 R_rest≥0.3×R(1)；
#   §4.1 母版=M5 P5 逃避协议（T=150ms/touch@73ms τ_trans=23/PLM·ALM 60µA/cm²/D_peak）；
#   §4.2 H1 STP u0≈0.6、τ_rec 400–1000ms + RIM 酪胺；§2.2 三因子 η[1e-4,1e-2]/τ_e[100,500]ms
role,neuron_class,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,tonic_uA_cm2,value,note
associative,assoc_scale,,,,,,,,20,联想学习底物规模（M4 趋化子图；G1 后 302 趋化未缓解 → 子图学习 §0 #1c）
associative,tf_edges,,,,,,,,ASEL->AIYL|ASEL->AIYR|ASEL->AIBL|ASEL->AIBR|ASER->AIYL|ASER->AIYR|ASER->AIBL|ASER->AIBR,三因子作用域（ASE→AIY/AIB；连接组事实 g=5nS）
associative,n_test,,,,,,,,4,测试试次数（基线/训练后/消退后；配对种子）
associative,t_test_ms,,,,,,,,1500.0,测试试次时长
associative,t_train_ms,,,,,,,,8000.0,训练期时长（连续；CS-US 配对）
associative,t_ext_ms,,,,,,,,8000.0,消退期时长（连续；US 撤除/反号）
associative,us_period_ms,,,,,,,,400.0,US 窗周期（配对训练期重复）
associative,us_on_ms,,,,,,,,200.0,US 窗时长（每周期 [us_on,period) 注入）
associative,us_train_signal,,,,,,,,1.0,训练期 US 信号（C_5ht 协议注入）
associative,us_ext_signal,,,,,,,,-1.0,消退期 US 信号（US 反号 → 权重回落）
associative,start_jitter,,,,,,,,0.3,试次起点抖动（M5 protocol 同款）
associative,seed_base,,,,,,,,0,试次种子基（确定性伪随机）
# ---- 学习协议参数（M6-B1c 追加；习惯化 P3 + 联想学习 P4；唯一定稿源）----
# 行语义同 mod 行（value 在 fields[9]，位置解析；role=habituation|associative）
# 预注册（清单 §0）：#3 τ_hab∈[3,15] 次/R²≥0.5；#4 恢复用相对判据 R_rest≥0.3×R(1)；
#   §4.1 母版=M5 P5 逃避协议（T=150ms/touch@73ms τ_trans=23/PLM·ALM 60µA/cm²/D_peak）；
#   §4.2 H1 STP u0≈0.6、τ_rec 400–1000ms + RIM 酪胺；§2.2 三因子 η[1e-4,1e-2]/τ_e[100,500]ms
role,neuron_class,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,tonic_uA_cm2,value,note
# M6 学习参数母版（B1b 生成 stdp 段；habituation/associative 段由后续步骤追加）
# 单位：ms/mV/nS；w 无量纲（ΔW 以相对量 Δw/w0 报告，L6 约定）
# STDP 预注册（清单 §2.1/§2.2）：τ=20ms 量级[10,40]；A₊=0.01·w0[0.005,0.02]；
#   A₋/A₊=0.9[0.5,1.0]；w_max=2.0·w0；η[1e-4,1e-2]；τ_e[100,500]ms；p=1/n=1
section,param,value,unit,note
stdp,tau_plus_ms,20.0,ms,文献典型值(Bi&Poo 1998);预注册窗[10,40]
stdp,tau_minus_ms,20.0,ms,同τ₊
stdp,a_plus,0.01,,0.01·w0;预注册[0.005,0.02]
stdp,a_minus,0.009,,0.9·A₊(预注册比值)
stdp,a_minus_over_a_plus,0.9,,LTD/LTP平衡;预注册[0.5,1.0]
stdp,w0,1.0,,权重锚(无量纲;ΔW 用相对量)
stdp,w_max,2.0,,2.0·w0 预注册
stdp,w0_semantic_ns,5.0,nS,ampa 权重语义锚(M5 先验)
stdp,g_max_ns,0.3,nS,P1 协议释放基准(亚阈值;发放时刻由刺激确定)
stdp,tau_syn_ms,3.0,ms,ampa 受体衰减(M2 定稿)
stdp,e_rev_mv,0.0,mV,ampa 反转电位
stdp,p_release,1.0,,确定性 p=1/n=1
stdp,n_vesicles,1,,确定性 n=1
stdp,eta,0.0001,,三因子学习率;预注册[1e-4,1e-2]
stdp,tau_e_ms,200.0,ms,资格迹;预注册[100,500]
# M6 学习参数母版（B1b 生成 stdp 段；habituation/associative 段由后续步骤追加）
# 单位：ms/mV/nS；w 无量纲（ΔW 以相对量 Δw/w0 报告，L6 约定）
# STDP 预注册（清单 §2.1/§2.2）：τ=20ms 量级[10,40]；A₊=0.01·w0[0.005,0.02]；
#   A₋/A₊=0.9[0.5,1.0]；w_max=2.0·w0；η[1e-4,1e-2]；τ_e[100,500]ms；p=1/n=1
section,param,value,unit,note
# M6 学习参数母版（B1b 生成 stdp 段；habituation/associative 段由后续步骤追加）
# 单位：ms/mV/nS；w 无量纲（ΔW 以相对量 Δw/w0 报告，L6 约定）
# STDP 预注册（清单 §2.1/§2.2）：τ=20ms 量级[10,40]；A₊=0.01·w0[0.005,0.02]；
#   A₋/A₊=0.9[0.5,1.0]；w_max=2.0·w0；η[1e-4,1e-2]；τ_e[100,500]ms；p=1/n=1
section,param,value,unit,note
# M6 学习与可塑性参数（唯一定稿源，可修改复现）——本文件由 M6-B1a 执行节点创建（调质段）；
# 习惯化/联想学习段由后续执行节点（P3/P4 协议节点）追加，段互不冲突。
# 列：role, neuron_class, synapse_from, synapse_to, synapse_type, g_max_ns,
#     delay_ms, tonic_uA_cm2, value, note
# 行语义：
#   - mod 行：role=mod, neuron_class=<调质参数名>, value=<值>——神经调质池
#     （src/neuromod.py ModParams）唯一定稿源；解析语义同 m5_worm_params.csv
#     （value 在 fields[9]，M5 L23 位置解析惯例）；
#   - mod_gating 行：role=mod_gating, neuron_class=<机制>, value=<作用域/门控目标>,
#     note=<预注册语义>——§0 #10 调质作用域预注册（只作用于有真实递质语义的通路）。
# 预注册（清单 §0）：
#   #6 调质模型语义：浓度变量（τ 100–1000ms）调制目标突触电导/增益（gate），
#      非快 EPSP/IPSP；mod/other 受体从"占位跳过"（M5 g=0）转为"功能门控"。
#   #10 调质作用域：多巴胺能（8 神经元）/血清素能（7 神经元）/酪胺能（RIM）
#      受体分布以连接组递质标注为锚，不臆造受体。
#   §3.2 四项落地（L2）：RIM 酪胺/命令互抑/AVA→DD GABA 链/自发输入，每项可消融。
role,neuron_class,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,tonic_uA_cm2,value,note
# ---- 调质池总开关与机制开关（消融 sanity：enabled=False → 现象消失）----
mod,enabled,,,,,,,,1,调质池总开关（False → 完全等价 M5 冻结行为；回归保护）
mod,tyramine_enabled,,,,,,,,1,① RIM 酪胺门控（AVA/AVD→C_tyr→抑 AVB/PVC；消融：删→fwd/back 共同发放复现 v≈0）
mod,mutual_inh_enabled,,,,,,,,1,② 命令互抑（AVA/AVD↔AVB/PVC 功能互抑边；消融：删→方向相位敏感复现）
mod,gaba_chain_enabled,,,,,,,,1,③ AVA→DD/VD GABA 功能链（消融：删→fwd 池隔离失效）
mod,spont_enabled,,,,,,,,1,④ 自发/调质输入（消融：删→86% 同步夹带复现）
mod,da_enabled,,,,,,,,1,多巴胺浓度门控（运动层增益；§3.1）
mod,ht_enabled,,,,,,,,1,血清素浓度门控（前进增益；§3.1）
# ---- 浓度 ODE（§3.1：τ 预注册 100–1000ms；C∈[0,1]；exponential_euler）----
mod,tau_da_ms,,,,,,,,500.0,多巴胺浓度时间常数（预注册窗 [100,1000]ms）
mod,tau_5ht_ms,,,,,,,,500.0,血清素浓度时间常数
mod,tau_tyr_ms,,,,,,,,500.0,酪胺浓度时间常数（习惯化机制时间尺度，Rankin 1990 量级）
mod,rate_norm_hz,,,,,,,,30.0,释放源发放率归一化基准（→[0,1]）
mod,da_baseline,,,,,,,,0.05,多巴胺基线浓度（L2④"调质池基线浓度"选项）
mod,ht_baseline,,,,,,,,0.05,血清素基线浓度
# ---- ① RIM 酪胺（L40#1）----
mod,tyr_gain,,,,,,,,0.60,fwd_gate = 1 − tyr_gain·C_tyr（后退时抑制前进命令增益）
mod,tyr_floor,,,,,,,,0.30,fwd_gate 下限（不彻底关闭前进）
mod,tyr_baseline,,,,,,,,1.0,酪胺基线浓度【定稿 O2：gate→floor（fwd_gate=0.4），AVB 张力 14µA/cm²×0.4=5.6µA 压到持续发放分岔点（0.7×14=9.8µA）之下→打破单张力夹带；低于阈值的行为由自发 bout 驱动】
# ---- ② 命令互抑（L40#1，功能补充：真实连接组无此边）----
mod,inh_gain_nA,,,,,,,,0.15,每归一化率的抑制电流基准（nA；对称时双向同值）
mod,inh_back_on_fwd_gain_nA,,,,,,,,0.80,后退→前进抑制【定稿 O2：RIM/酪胺语义强 0.80nA】
mod,inh_fwd_on_back_gain_nA,,,,,,,,0.05,前进→后退抑制（弱 0.05nA——真实连接组后退命令驱动 fwd 池，互抑非对称）
# ---- ③ AVA→DD/VD GABA 功能链（L40#2，真实连接组 0 条该边）----
mod,gaba_chain_gain_nA,,,,,,,,0.80,AVA/AVD 归一化率→DD/VD 驱动电流（nA）【定稿 O2：后退 bout 隔离 fwd 池】
# ---- ④ 自发/调质输入（L40#3；确定性伪随机 seed 固定；bout 驱动）----
mod,spont_rate_hz,,,,,,,,2.0,每角色自发发放率【定稿 O2：bout 驱动 2Hz】
mod,spont_amp_nA,,,,,,,,0.10,每脉冲注入电流（nA；精确脉冲窗写入）【定稿 O2：0.10nA×3ms】
mod,spont_dur_ms,,,,,,,,3.0,脉冲时长（ms；瞬态 bout 驱动，不持续夹带）
mod,spont_seed,,,,,,,,20260826,自发输入固定 seed（确定性伪随机，可重跑）
mod,spont_roles,,,,,,,,DA1|DA2|DA3|DA4|DA5|DA6|DA7|DA8|DA9|VA1|VA2|VA3|VA4|VA5|VA6|VA7|VA8|VA9|VA10|VA11|VA12|SMDDL|SMDDR,自发输入作用域【定稿 O2：输出级运动池（后退 DA/VA + 头 SMDD）——命令池注入会重新点燃 86% 同步夹带（实测坑 L9）；'|' 分隔】
# ---- 多巴胺/血清素门控（T2 横切层理念）----
mod,da_gain,,,,,,,,0.30,C_da→运动层增益 1/(1+K·C)（Hill 型单调有界）
mod,ht_gain,,,,,,,,0.20,C_5ht→前进增益 1+K·C（capped 1.2）
mod,chunk_ms,,,,,,,,25.0,静息/连续运行调质更新块（=行为 tick）
mod,mod_dt_ms,,,,,,,,5.0,调质更新子步【定稿 O2：5ms——逃避 150ms 窗内互抑反应延迟 ≤5ms（方向相位修复关键）；P2/P6/P4 复核用 25ms 档（τ~500ms 慢动力学等价）】
# ---- 调质作用域预注册（§0 #10；不臆造受体，只锚真实递质语义通路）----
mod_gating,tyramine_target,,,,,,,,AVB/PVC 前进命令增益,① RIM 酪胺：RIML/RIMR（酪胺能，L9 other）→ 门控 AVB/PVC 驱动（C_fwd 通路）；消融见 mod.tyramine_enabled
mod_gating,mutual_inh_target,,,,,,,,AVA/AVD↔AVB/PVC 组装层功能互抑边,② 命令互抑：真实连接组互为 ampa 兴奋（L40#1），功能补充互抑边（连接组 CSV 内容不动）
mod_gating,gaba_chain_target,,,,,,,,AVA/AVD→DD/VD→fwd 运动池(DB/VB),③ AVA→DD/VD GABA 功能链：真实连接组 0 条该边（L40#2），功能补充驱动 DD/VD 池（其既有 gaba→运动池突触复用）
mod_gating,spont_target,,,,,,,,命令池+RIM+GABA 池+头运动（'|' 分隔见 mod.spont_roles）,④ 自发/调质输入：确定性伪随机（seed 固定）打破单一张力夹带（L40#3）；头运动（SMDD/SMB/RMD）→ C_left/C_right 不对称 → 转向 bout
mod_gating,da_target,,,,,,,,运动层增益（AVB/PVC 张力×门控；ADE/CEP/PDE 释放源）,多巴胺：运动调制（8 多巴胺能神经元，L5#5/L9）
mod_gating,ht_target,,,,,,,,前进增益（AVB/PVC 张力×门控；ADF/NSM/RIH 释放源）,血清素：食物信号/前进促进（7 血清素能神经元，L5#5/L9）
# ---- learning 段（M6-B1c2 追加：习惯化 P3 + 联想学习 P4 协议；解析语义同 mod 行：
#       value 在 fields[9]，位置解析惯例 M5 L23）----
# 习惯化（母版 = M5 P5 逃避协议：T=150ms、touch@start+τ_trans、60µA/cm²、R(n)=D_peak）：
# 联想学习（CS=盐浓度 ASE 时间差分编码 / US=血清素协议注入；三因子规则在 ASE→AIY/AIB 子图）：

# ---- learning 段（M6-B1c 追加：习惯化 P3 + 联想学习 P4 协议；解析语义同 mod 行：value 在 fields[9]，位置解析惯例 M5 L23）----
# 习惯化（母版 = M5 P5 逃避协议：T=150ms、touch@start+τ_trans、60µA/cm²、R(n)=D_peak=max(C_back−C_fwd)）：
# 联想学习（CS=盐浓度 ASE 时间差分编码 / US=血清素协议注入；三因子 ASE→AIY/AIB 子图，§0 预注册 #1c）
# 三因子：dw/dt=η·M(t)·elig（§2.2 规格）；M=us_train_signal（训练 LTP）/ 0（测试冻结）/ us_ext_signal 反号（消退 LTD）
