# M5 全虫参数与协议定稿（唯一定稿源，可修改复现）——M5-B1b 执行节点按《生物仿真M5实施清单》
# §2.6/§3 结构创建；G0 决策（降阶模型配置/协议/预算）定稿于扫描后（见文末 G0 段）。
# 列：role, neuron_class, synapse_from, synapse_to, synapse_type, g_max_ns,
#     delay_ms, tonic_uA_cm2, value, note
# 行语义：
#   - model 行：role=model, neuron_class=<point_hh|two_comp|multicomp|dt_ms|method|...>,
#     value=<值>——G0 定稿的行为层降阶配置（§3.2 方案①）；
#   - protocol 行：role=protocol, neuron_class=<n_trials|t_total_ms|ci_*|escape_*|resting_*|
#     spont_*>, value=<值>——P4/P5/P6 验证协议（T 按参考模型 N=20 通过率 ≥80% 最短 T）；
#   - env/body/transduction/mechanism_a 行：沿用 M4 定稿（行为上下文；M4 参数源），
#     与 m4_chemotaxis_params.csv 同值（M5 交接携带）；
#   - behavior_reference 行：引用 data/m5_behavior_reference.csv 的带（B1a 定稿）。
# G0 决策依据：data/m5_scaling.csv（铁律 C 缩放扫描）+ reports/neuro/m5_scaling_curves.png
# + docs/m5_env_notes.md（G0 段）。预算上限预注册：行为验证 ≤200 CPU-小时（单机）。
role,neuron_class,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,tonic_uA_cm2,value,note
# ---- 降阶模型行（G0 定稿；扫描后回填实测墙钟/收敛依据）----
model,point_hh,,,,,,,,行为层主选：单隔室 HH 点神经元（PointNeuron，src/point_neuron.py）；M2 突触组件复用实测成功（m5_env_notes L17）
model,two_comp,,,,,,,,双隔室（soma+node3，缩放扫描中间档）；G0 判定是否必要（按 20/50 档收敛）
model,multicomp,,,,,,,,多隔室 HH（M1 冻结组件）仅限 ≤50 局部子图（P2 静息子图/P3 咽部）
# 定稿依据：全杠杆扫描 ~30 组合（类级/缝隙/突触类型/张力/漏电）后，四目标无法
# 联合满足（见 docs/m5_env_notes.md L37-L41 反证笔记 + 三态裁决请求）。本定稿 =
# 最小充分组合（D4=g1_gap005）：类级缩放全部保持 M4/M3 子图先验（1.0 恒等），
# 仅缝隙全局缩放 gap_scale=0.05 修复 AVB 缝隙分流（逃避方向 ✓ + 趋化方向 ✓）。
weight,class_scale_sensory_sensory,,,,,,,,1.0,sensory→sensory 类级缩放（M4/M3 先验恒等；§6 定稿）
weight,class_scale_sensory_inter,,,,,,,,1.0,sensory→inter（ASE→AIY/AIB 趋化链 + ALM→AVDR 逃避链；先验恒等）
weight,class_scale_sensory_motor,,,,,,,,1.0,sensory→motor（先验恒等）
weight,class_scale_inter_inter,,,,,,,,1.0,inter→inter（先验恒等；循环夹带问题见反证笔记，非本杠杆可解）
weight,class_scale_inter_motor,,,,,,,,1.0,inter→motor（先验恒等；VB/DB/DA/VA 驱动）
weight,class_scale_inter_sensory,,,,,,,,1.0,inter→sensory（先验恒等）
weight,class_scale_motor_inter,,,,,,,,1.0,motor→inter（先验恒等）
weight,class_scale_motor_motor,,,,,,,,1.0,motor→motor（先验恒等；运动池共同发放 → P6 fwd 反证见 L39）
weight,class_scale_motor_sensory,,,,,,,,1.0,motor→sensory（先验恒等）
weight,class_scale_pharyngeal_pharyngeal,,,,,,,,1.0,pharyngeal 内部（P3 咽部子图独立参数；恒等）
weight,gap_scale,,,,,,,,0.05,缝隙全局缩放【定稿：gap=1.0 时 AVB 的 ~30 缝隙伙伴把 M4 张力分流到亚阈值（缝隙负载≈15nS≈4×固有 gL）→ AVB 只发 t=0 尖峰后静默（逃避失效/无 fwd）；gap=0.05 使 AVB 持续发放 14Hz、逃避 back D_peak=0.61 ✓、趋化方向 ✓；gap<0.05 逃避链路弱化、gap>0.10 AVB 复归静默（L37/L38）】
weight,tonic_scale,,,,,,,,1.0,AVB 张力缩放（M4 14µA/cm² 携带；定稿 1.0；tonic<0.7 死区/≥0.8 夹带分岔——见 L38，不动）
weight,gL_scale,,,,,,,,1.0,点神经元漏电缩放（风险表"漏电增强"杠杆实测：gL 2-3× → 全网络静默 100%、行为靠 t=0 波——不可用，L38）
weight,syn_type_scale_gaba,,,,,,,,1.0,GABA 突触类型缩放（gaba 2× 实测 fwd↑/rev↓ 出带——不可用，L38）
# ---- §6 校准决策记录（四目标 vs 带，逐组合详值 data/m5_calibration.csv）----
weight,calib_verdict,,,,,,,,PARTIAL,【D4 定稿 g1_gap005 N=5：P2 静默 10.6%（带 [60,80] ✗）/ P4 CI +0.078 方向 ✓（ΔCI vs 参考 0.175 = 0.097 ≤0.15）/ P5 逃避 back D_peak 0.61 ✓（神经潜伏期 4.5ms 点神经元结构性偏快 G0 L22）/ P6 fwd 25.5% ✗ rev 3% ✗ turn 0.5% ✗（参考 73/16/10）】——P2 与 P6 结构性不可达（反证笔记 docs/m5_env_notes.md L37-L41），三态裁决请求已提交
weight,calib_ruling_request,,,,,,,,THREE_STATE,【请求规划节点三态裁决】：① 接受本定稿（P4/P5 PASS + P2/P6 反证记录，M6 调质层后复核）② 提前引入 RIM 酪胺/命令互抑（AVA-AVB 互抑 + AVA→DD GABA 链）重新校准 ③ P2/P6 验证主体改为行为参考模型（M4 P4(b) 同款处置）
# ---- 协议补丁（L34 请求：τ_trans 定稿）----
protocol,escape_touch_delay_ms,,,,,,,,23.0,转导延迟 τ_trans 定稿（L34 参考锚 23ms = 行为潜伏期 40 − 神经 9.8 − 肌肉 7.1；P5 计时操作化：神经潜伏期以触电流注入时刻 t0+τ_trans 为起点，见 L34）
# ---- G0 决策段（扫描完成，2026-08-25 M5-B1b；依据 m5_scaling.csv + m5_scaling_curves.png）----
g0,status,,,,,,,,PASS(带记录测量限制),【G0 通过：降阶模型 + 缩放扫描完成 + 降阶正确性通过（趋化方向一致/ΔCI 记录；逃避方向一致、潜伏期偏快记录）——P4/P5/P6 协议按定稿配置执行】
g0,verdict_chemotaxis,,,,,,,,PASS,20 档点 CI=0.403@5s（方向与 M4 记录一致；ΔCI vs 参考(5s)=0.228 超 0.15 但方向条款满足——连接组真实接线比 M4 手工子图更有效）；302 档 CI=0.243 ΔCI vs 参考(5s)=0.068 ≤0.15 ✓
g0,verdict_escape,,,,,,,,PASS(方向)/记录限制(潜伏期),方向 back D_peak=0.410 vs M3 0.352 ✓；神经潜伏期 4.7ms < M3 窗 [5,20]（点神经元省略峰电位起始延迟，结构性偏快——P5 需权重定稿后复核或 touch_delay 补偿，不静默）
g0,verdict_resting_p2,,,,,,,,PENDING_CALIBRATION,占位权重下 302 静默比例 8.6%/中位数 1Hz（电生理带 60-80% 静默）→ P2 需 §6 权重校准后验证（预注册 #4 判据，不调参）
g0,verdict_spontaneous_p6,,,,,,,,PENDING_CALIBRATION,占位权重下 302 自发状态全 pause（无 fwd/rev）→ 行为未在占位权重涌现：§6 校准候选/反证路径（命令子图 AVA/AVD/AVB/PVC 耦合），不阻塞 P4/P5（§3.6 部分通过）
g0,scale_final,,,,,,,,302,定稿行为层规模 = 全连接组（302 档点神经元可行且行为持续）
g0,fidelity_final,,,,,,,,point,定稿行为层保真度 = 点神经元（20 档 point↔two_comp ΔCI=0.025 ≪0.15 → 收敛，最低保真度即可）
g0,dt_method_final,,,,,,,,0.1ms/exponential_euler,定稿（M4 L16：不再变）
g0,t_total_final_ms,,,,,,,,15000.0,协议 T = 参考模型 N=20 通过率 ≥80% 的最短 T（ref-T15000：p=0.002/d=0.79；L23 显著区 T≥15s 稳健）
g0,budget_estimate_cpu_hours,,,,,,,,<50,302 点神经元 T=15s×N=20（梯度+对照）≈ 5-10 CPU-h（探针 3.8s/T1s 外推 + 实测 20s/T5s）；远低于 200 CPU-h 预注册上限 ✓
